Keyword,Rank,ASIN,Title,Brand,Latest Selling Price,Original Price,Present
Nourishing Shampoo,-1,3512315,MCaffeine Coffee Body Wash with Vitamin E for Deep Cleansing and Hydration,Mcaffeine,359.0,399.0,False
Nourishing Shampoo,-1,1082185,MCaffeine Espresso Coffee Bathing Bar - pH 5.5 Soap Free Syndet Bar with Vitamin E for Deep Cleansing,Mcaffeine,239.0,299.0,False
Nourishing Shampoo,-1,24141,Lotus Professional Phyto-Rx Deep Pore Cleansing Face Wash,Lotus Herbals,352.0,440.0,False
Nourishing Shampoo,-1,1474701,Nykaa Naturals CleanTouch 2 in 1 Face Brush & Massager for Deep Cleansing & Exfoliation,Nykaa Naturals,2249.0,2999.0,False
Nourishing Shampoo,-1,2725449,DHC Beauty Deep Cleansing Oil,Dhc Beauty,699.0,699.0,False
Nourishing Shampoo,-1,26486,Kiehl's Calendula Deep Cleansing Foaming Face Wash,Kiehl'S,2400.0,2400.0,False
Nourishing Shampoo,-1,3548060,"MCaffeine Coffee Deep Cleansing Body Kit with Body Scrub, Body Wash, Body Lotion",Mcaffeine,975.0,1223.0,False
Nourishing Shampoo,-1,40041,Biotique Bio Almond Oil Deep Cleanse Purifying Cleansing Oil Face & Eye Makeup remover,Biotique,175.0,175.0,False
Nourishing Shampoo,-1,6453603,"MCaffeine Coffee Body Exfoliation Kit - Body Scrub, Body Wash & Bath Glove - Tan Removal & Deep Cleansing",Mcaffeine,899.0,1147.0,False
Nourishing Shampoo,-1,463333,"NIVEA Women Body Wash,Clay Fresh Hibiscus & Grapefruit Shower Gel,Deep Cleansing & Velvety Soft Skin",Nivea,207.0,225.0,False
Nourishing Shampoo,-1,1495102,TNW The Natural Wash Vitamin C Exfolaiting Face Wash For Deep Cleansing & Skin Brightening,Tnw The Natural Wash,250.0,320.0,False
Nourishing Shampoo,-1,519700,MCaffeine Deep Pore Cleansing Regime,Mcaffeine,975.0,1273.0,False
Nourishing Shampoo,-1,5960485,St. Ives Tea Tree Pimple Clear Face Wash Cleanser,St. Ives,288.0,360.0,False
Nourishing Shampoo,-1,1473197,Nykaa Naturals CleanTouch 2 in 1 Face Brush & Massager for Deep Cleansing & Exfoliation - Pink,Nykaa Naturals,2249.0,2999.0,False
Nourishing Shampoo,-1,25284,The Body Shop Deep Cleansing Seaweed Gel Wash,The Body Shop,945.0,945.0,False
Nourishing Shampoo,-1,6034086,L'Oreal Paris Revitalift Deep Purifying Crystal Cleansing Gel,L'Oreal Paris,499.0,499.0,False
Nourishing Shampoo,-1,2753976,Aravi Organic Rosemary Essential Oil for Hair Growth & Hair Nourish,Aravi Organic,280.0,322.0,False
Nourishing Shampoo,-1,28359,Kama Ayurveda Bringadi Intensive Hair Treatment Oil,Kama Ayurveda,450.0,450.0,False
Nourishing Shampoo,-1,10514,L'Oreal Professionnel Aminexil Advanced Aminexil + Omega 6 (10Pcs),L'Oreal Professionnel,1950.0,1950.0,False
Nourishing Shampoo,-1,3985403,Mamaearth Onion Conditioner With Onion & Coconut For Hair Fall Control,Mamaearth,503.0,559.0,False
Nourishing Shampoo,-1,171236,Indulekha Bringha Hair Oil,Indulekha,971.0,1170.0,False
Nourishing Shampoo,-1,10509,LOreal Professionnel X-Tenso Care Masque,L'Oreal Professionnel,720.0,720.0,False
Nourishing Shampoo,-1,5003163,The Ordinary Multi-Peptide Serum For Hair Density,The Ordinary,1650.0,1650.0,False
Nourishing Shampoo,-1,10508,L'Oreal Professionnel X-Tenso Care Serum,L'Oreal Professionnel,630.0,630.0,False
Nourishing Shampoo,-1,348870,Nykaa Naturals Essential Oil,Nykaa Naturals,245.0,350.0,False
Nourishing Shampoo,-1,1328949,L'Oreal Professionnel X-Tenso Shampoo + Masque + Serum,L'Oreal Professionnel,1862.0,1960.0,False
Nourishing Shampoo,-1,208993,Tresemme Keratin Smooth With Argan Oil Conditioner,Tresemme,296.0,395.0,False
Nourishing Shampoo,-1,10506,LOreal Professionnel Series Expert Resveratrol Vitamino Color Shampoo,L'Oreal Professionnel,695.0,695.0,False
Nourishing Shampoo,-1,72164,L'Oreal Professionnel X-Tenso Care Pro-Keratine Shampoo & Masque,L'Oreal Professionnel,1264.0,1330.0,False
Nourishing Shampoo,-1,3985406,Mamaearth Onion Oil For Hair Regrowth & Hair Fall Control With Redensyl,Mamaearth,509.0,599.0,False
Nourishing Shampoo,-1,1323687,Matrix Opti Care Professional Ultra Smoothing 2-Step Regime - Shampoo 200ml + Conditioner 98g,Matrix,618.0,650.0,False
Nourishing Shampoo,-1,5597750,Anomaly Anti-Frizz Smoothing Conditioner with Argan Oil & Quinoa,Anomaly,750.0,750.0,False
Nourishing Shampoo,-1,1323811,Matrix Opti Care Professional Ultra Smoothing 2-Step Regime - Shampoo 350ml + Conditioner 196g,Matrix,1026.0,1080.0,False
Nourishing Shampoo,-1,1452366,Matrix Opti Care Professional Ultra Smoothing Regime - Shampoo 200ml + Conditioner 98g + Serum 100ml,Matrix,1035.0,1150.0,False
Nourishing Shampoo,-1,1328903,Matrix Opti Care Professional Ultra Smoothing Regime -Shampoo 350ml + Conditioner 196g + Serum 100ml,Matrix,1422.0,1580.0,False
Nourishing Shampoo,-1,1323684,Matrix Biolage Smoothproof Smoothing Shampoo & Conditioner,Matrix,385.0,405.0,False
Nourishing Shampoo,-1,5187378,"Bare Anatomy Expert Ultra Smoothing Hair Serum, Mask & Shampoo Combo",Bare Anatomy,1543.0,1815.0,False
Nourishing Shampoo,-1,50996,Matrix Biolage Deep Smoothing Shampoo + Matrix Biolage Deep Smoothing Conditioner,Matrix,732.0,770.0,False
