ASIN,Title,Brand,Latest Selling Price,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Original Price,Last Day Selling Price,Last Day BSR,Estimated Sales,Availability,Category,Gender
5360364,L'Oreal Paris Skin & Haircare Combo - Revitalift 1.5% Hyaluronic Acid Serum & Total Repair 5 Shampoo,L'Oreal Paris,499,,,4.2,NA,NA,899,499,,0,1,Combos @ Nykaa,
4766172,L'Oreal Paris Extraordinary Oil Combo For Smooth Frizz-free Hair,L'Oreal Paris,1398,,,4.4,NA,NA,1697,1398,,0,1,,
5360365,"L'Oreal Paris Total Repair 5 Shampoo, Pack Of 2",L'Oreal Paris,540,,,4.4,NA,NA,940,540,,0,1,,
5610739,L'Oreal Paris Extraordinary Oil Smooth Shampoo & Serum Kit,L'Oreal Paris,999,,,4.4,NA,NA,1298,999,,0,1,,
25555,L'Oreal Paris Fall Resist Anti-Dandruff Shampoo,L'Oreal Paris,150,,495,4.3,NA,NA,150,150,,0,1,Shampoo,
110459,L'Oreal Paris Excellence Creme Hair Color - 1 Black + Free Total Repair 5 Shampoo,L'Oreal Paris,620,,9,4.3,NA,NA,620,620,,0,1,,
452483,LOreal Paris Total Repair 5 Combo - Shampoo + Free Conditioner + Free Serum worth Rs 349,L'Oreal Paris,540,,747,4.3,NA,NA,540,540,,0,1,,
1507007,Biotique Onion Haircare Range Combo,Biotique,664,722,14,4.3,NA,NA,910,664,732,0,1,,
1507005,Biotique Argan Haircare Range Combo,Biotique,905,800,1,4.2,NA,NA,1240,905,792,0,1,,
730074,Biotique Bio Walnut Bark Volumizing Shampoo - Pack of 2,Biotique,145,838,,4,NA,NA,198,145,843,0,1,Combos @ Nykaa,
39954,Biotique Bio Neem Margosa Anti - Dandurff Shampoo & Conditioner,Biotique,509,866,32,4,NA,NA,670,670,877,0,1,Shampoo,
1507009,Biotique Banana Shampoo & Hair Mask Combo,Biotique,423,853,6,4.3,NA,NA,580,423,878,0,1,,
598064,Biotique Bhringraj & Kelp Protein Anti-Hair Fall Combo Oil & Shampoo,Biotique,232,891,7,4.4,NA,NA,314,232,891,0,1,Combos @ Nykaa,
159796,Biotique Hair Regime For Coloured Hair,Biotique,348,922,,3.9,NA,NA,477,348,925,0,1,,
1507006,Biotique Argan Shampoo & Conditioner Combo,Biotique,482,954,1,3.8,NA,NA,660,482,974,0,1,,
