ASIN,Date,Selling Price,Last Known Selling Price,BSR,Last Known BSR,Estimated Sales,Availability
1506996,18/09/2022,618,793,569,556,0,1
730077,15/09/2022,178,,601,,0,1
730077,16/09/2022,198,178,600,601,0,1
730077,17/09/2022,158,198,598,600,0,1
730077,18/09/2022,158,158,594,598,0,1
730070,15/09/2022,168,,604,,0,1
730070,16/09/2022,198,168,599,604,0,1
730070,17/09/2022,145,198,597,599,0,1
730070,18/09/2022,145,145,597,597,0,1
730113,15/09/2022,182,,641,,0,1
730113,16/09/2022,198,182,645,641,0,1
730113,17/09/2022,158,198,644,645,0,1
730113,18/09/2022,158,158,639,644,0,1
730082,15/09/2022,182,,710,,0,1
730082,16/09/2022,198,182,698,710,0,1
730082,17/09/2022,152,198,695,698,0,1
730082,18/09/2022,152,152,696,695,0,1
952749,15/09/2022,281,,742,,0,1
952749,16/09/2022,330,281,741,742,0,1
952749,17/09/2022,330,330,747,741,0,1
952749,18/09/2022,251,330,756,747,0,1
1488673,15/09/2022,744,,519,,0,1
1488673,16/09/2022,718,744,519,519,0,1
1488673,17/09/2022,718,718,535,519,0,1
1488673,18/09/2022,744,718,525,535,0,1
1488672,15/09/2022,721,,558,,0,1
1488672,16/09/2022,721,721,561,558,0,1
1488672,17/09/2022,1011,721,550,561,0,1
1488672,18/09/2022,629,1011,530,550,0,1
3535712,15/09/2022,690,,563,,0,1
3535712,16/09/2022,690,690,563,563,0,1
3535712,17/09/2022,690,690,571,563,0,1
3535712,18/09/2022,690,690,564,571,0,1
430560,15/09/2022,936,,566,,0,1
430560,16/09/2022,936,936,558,566,0,1
430560,17/09/2022,936,936,563,558,0,1
430560,18/09/2022,936,936,560,563,0,1
1488674,15/09/2022,1072,,578,,0,1
1488674,16/09/2022,1072,1072,576,578,0,1
1488674,17/09/2022,1072,1072,572,576,0,1
1488674,18/09/2022,1072,1072,557,572,0,1
7678,15/09/2022,488,,587,,0,1
7678,16/09/2022,488,488,583,587,0,1
7678,17/09/2022,488,488,587,583,0,1
7678,18/09/2022,488,488,584,587,0,1
982102,15/09/2022,1439,,673,,0,1
982102,16/09/2022,1465,1439,673,673,0,1
982102,17/09/2022,1686,1465,666,673,0,1
982102,18/09/2022,1465,1686,653,666,0,1
1031095,15/09/2022,70,,696,,0,1
1031095,16/09/2022,70,70,691,696,0,1
1031095,17/09/2022,70,70,678,691,0,1
1031095,18/09/2022,70,70,667,678,0,1
982101,15/09/2022,1439,,880,,0,1
982101,16/09/2022,1465,1439,862,880,0,1
982101,17/09/2022,1686,1465,872,862,0,1
982101,18/09/2022,1465,1686,863,872,0,1
208997,15/09/2022,570,,11,,0,1
208997,16/09/2022,713,570,12,11,0,1
208997,17/09/2022,713,713,12,12,0,1
208997,18/09/2022,713,713,12,12,0,1
971624,15/09/2022,915,,23,,0,1
971624,16/09/2022,915,915,26,23,0,1
971624,17/09/2022,915,915,25,26,0,1
971624,18/09/2022,915,915,28,25,0,1
7681,15/09/2022,681,,41,,0,1
7681,16/09/2022,629,681,44,41,0,1
7681,17/09/2022,713,629,43,44,0,1
7681,18/09/2022,629,713,42,43,0,1
384438,15/09/2022,588,,42,,0,1
384438,16/09/2022,588,588,45,42,0,1
384438,17/09/2022,588,588,45,45,0,1
384438,18/09/2022,588,588,44,45,0,1
774828,15/09/2022,628,,62,,0,1
774828,16/09/2022,628,628,64,62,0,1
774828,17/09/2022,628,628,63,64,0,1
774828,18/09/2022,628,628,61,63,0,1
864831,15/09/2022,651,,105,,0,1
864831,16/09/2022,662,651,105,105,0,1
864831,17/09/2022,662,662,105,105,0,1
864831,18/09/2022,662,662,100,105,0,1
