ASIN,Title,Brand,Latest Selling Price,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Original Price,Last Day Selling Price,Last Day BSR,Estimated Sales,Fulfilled,Availability,Category,Gender
B083KVZQ7Z,"Whirlpool 190 L 3 Star Direct-Cool Single Door Refrigerator (WDE 205 CLS 3S, Blue)",Whirlpool,13690.0,15.0,7850,4.2,NA,NA,15400.0,13690.0,10.0,0.0,Fulfilled,1.0,Refrigerators,
B09PMPK18J,Whirlpool 190 L 2 Star Direct-Cool Single Door Refrigerator (WDE 205 ROY 2S WINE BLOOM),Whirlpool,14240.0,57.0,630,4.1,NA,NA,17800.0,14240.0,46.0,0.0,Fulfilled,1.0,Refrigerators,
B083RPPSQF,"Whirlpool 300 L Frost-Free Multi-Door Refrigerator (FP 313D PROTTON ROY, Steel Onyx)",Whirlpool,32490.0,65.0,472,4.2,NA,NA,43950.0,32490.0,57.0,0.0,Fulfilled,1.0,Refrigerators,
B09PMTJPPQ,"Whirlpool 190 L 2 Star Direct-Cool Single Door Refrigerator (WDE 205 CLS PLUS 2S SAPPHIRE BLOOM), Blue",Whirlpool,13540.0,37.0,1451,4.2,NA,NA,16700.0,13540.0,64.0,0.0,Fulfilled,1.0,Refrigerators,
B078YJXPCF,"Whirlpool 330 L Frost Free Multi-Door Refrigerator(FP 343D Protton Roy, Alpha Steel)",Whirlpool,35890.0,72.0,722,4.1,NA,NA,41400.0,35890.0,63.0,0.0,Fulfilled,1.0,Refrigerators,
B08R4YV223,"Whirlpool 215 L 5 Star Inverter Single Door Refrigerator (230 ICEMAGIC PRO ROY 5S INV, Wine Abyss)",Whirlpool,20290.0,85.0,1052,4.3,NA,NA,23050.0,20290.0,65.0,0.0,Fulfilled,1.0,Refrigerators,
B091Q56ZR8,"Whirlpool 190 L 4 Star Inverter Direct-Cool Single Door Refrigerator (WDE 205 ROY 4S INV, Sapphire Magnolia, Base Stand)",Whirlpool,15990.0,48.0,2647,4.2,NA,NA,19700.0,15990.0,51.0,0.0,Fulfilled,1.0,Refrigerators,
B098Q5FF7G,Whirlpool 190 L 3 Star Direct Cool Single Door Refrigerator (WDE 205 ROY 3S Wine Radiance),Whirlpool,16340.0,159.0,293,4.3,NA,NA,18500.0,16340.0,205.0,0.0,Fulfilled,1.0,Refrigerators,
B078YL5K8D,"Whirlpool 260 L Frost Free Multi-Door Refrigerator(FP 283D Protton Roy, Alpha Steel)",Whirlpool,27490.0,110.0,1076,4.3,NA,NA,32400.0,27490.0,92.0,0.0,Fulfilled,1.0,Refrigerators,
B083KRV6DK,"Whirlpool 190 L 2 Star Direct-Cool Single Door Refrigerator (WDE 205 CLS 2S, Solid Grey)",Whirlpool,12790.0,90.0,1021,4.1,NA,NA,15600.0,12790.0,46.0,0.0,Fulfilled,1.0,Refrigerators,
B086H3NR1F,"Whirlpool 215 L 5 Star Inverter Direct-Cool Single Door Refrigerator with Intellisense inverter technology(230 IMPRO ROY 5S INV SAPPHIRE ABYSS, Sapphire Abyss)",Whirlpool,20290.0,33.0,3068,4.3,NA,NA,23050.0,20290.0,25.0,0.0,Fulfilled,1.0,Refrigerators,
B0982Y9C1C,"Whirlpool 190 L 3 Star Single Door Refrigerator (WDE 205 CLS PLUS 3S, Sapphire Radiance)",Whirlpool,14290.0,56.0,2086,4.2,NA,NA,17200.0,14290.0,55.0,0.0,Fulfilled,1.0,Refrigerators,
B09NKRCQK6,Delideal Fridge Full Body Cover for LIEBHERR 220 litres 3 Star Single Door Refrigerator Drc 2210 and wwaterproof/dustproof (Design no:1711DD012),Delideal,,,,,NA,NA,,,,0.0,NA,0.9375,Refrigerator Covers,
B091TZ4TNZ,"Haier 346 L 3 Star Frost Free with inverter Double Door Refrigerator (HEB-35TDS, Silver)",Haier,,100.0,537,4.4,NA,NA,,,221.0,0.0,NA,0.0,Refrigerators,
B07G5YV3LC,Aviksha Enterprise Premium Heavy Duty Adjustable Top Load Washing Machine/Refrigerator/Fridge/Dishwasher/Air Cooler Trolley/Stand with Wheels : Colour - Bluish Grey,Aviksha Enterprise,1990.0,,2038,4.4,NA,NA,2999.0,,,0.0,Fulfilled,0.6875,Floor Trays,
B08SBSL8Y2,Samsung 253 L 3 Star with Inverter Double Door Refrigerator,Samsung,24290.0,1.0,3951,4.4,NA,NA,31990.0,24290.0,1.0,0.0,Fulfilled,1.0,Refrigerators,
B083KVTQ6Z,"Whirlpool 190 L 2 Star Direct-Cool Single Door Refrigerator (WDE 205 CLS 2S, Wine)",Whirlpool,12790.0,91.0,438,4.2,NA,NA,14400.0,12790.0,67.0,0.0,Fulfilled,1.0,Refrigerators,
B09NKTZ3MR,Delideal Fridge Full Body Cover for LIEBHERR 220 litres 3 Star Single Door Refrigerator Drc 2210 and wwaterproof/dustproof (Design no:1711DD018),Delideal,,,,,NA,NA,,,,0.0,NA,0.9375,Refrigerator Covers,
B09NKT2PK7,Delideal Fridge Full Body Cover for Liebherr 220 litres 4 Star Single Door Refrigerator Db 2240 and wwaterproof/dustproof (Design no:1711DD019),Liebherr,,,,,NA,NA,,,,0.0,NA,0.9375,Refrigerator Covers,
B08448TTJM,"Haier 258 L 3 Star Inverter Frost-Free Double Door Refrigerator (HEF-25TDS, Dazzle Steel, Convertible)",Haier,,120.0,1022,4.3,NA,NA,,,118.0,0.0,NA,0.5625,Refrigerators,
