Keyword,Rank,ASIN,Title,Brand,Latest Selling Price,Original Price,Fulfilled,Sponsored,Present
men kurta set,-1,B0BGF5G4F6,ENCINO Mens Cotton Printed Kurta Top - Angad Collection,,799,1999,NA,,False
men kurta set,-1,B07GRT6S5B,Manyavar Men Kurta,,1999,1999,Fulfilled,,False
men kurta set,-1,B0BTX5VTDN,TheEthnicCo Draped Indo With White Pants (021IW08P6),,16997,16999,NA,,False
men kurta set,-1,B0BXH69T77,XEPON Indo Western Sherwani Set For Men,,1799,2999,NA,,False
men kurta set,-1,B0BHQ9JWDQ,DUPATTA BAZAAR Men's Multicoloured Silk Blend Dupatta for Kurta/Sherwani/Achkan,,399,899,NA,,False
men kurta set,-1,B016ZQS428,Royal Men's Silk Blend Sherwani,,2646,5499,NA,,False
men kurta set,-1,B0BGXBX7V6,MAHEK APPARELSS Men Solid Cotton Full Sleeve Short Kurta15,,1149,1499,NA,,False
men kurta set,-1,B0BGX89MMW,MAHEK APPARELSS Men Solid Cotton Full Sleeve Short Kurta36,,1149,1499,NA,,False
men kurta set,-1,B09LR3MN2P,See Designs Men Men's Kurta,,669,2099,Fulfilled,,False
men kurta set,-1,B0773K9PPG,Mag Men's silk Kurta Churidhar With For Men For Men Waistcoat,,1999,6500,Fulfilled,,False
men kurta set,-1,B0B4VS8F5Y,See Designs Men Mens Kurta,,989,2199,Fulfilled,,False
men kurta set,-1,B0B4WJB66M,Amazon Brand - Symbol Men Men's Kurtas,,619,2699,Fulfilled,,False
men kurta set,-1,B09MB6YNDX,Vida Loca Men's Kurta,,649,2499,Fulfilled,,False
men kurta set,-1,B09FSTZ2Z1,Sanwara Men's Silk Kurta,,699,1799,Fulfilled,,False
men kurta set,-1,B09JP24WST,"Bewakoof Men's Solid 100% Cotton Short Kurta - Relaxed Fit, Mandrin Collar, Full Sleeves",,629,999,Fulfilled,,False
men kurta set,-1,B0BQC3YGQB,Luxrio Kurta for Men Cotton Silk Blend Self Design Embroidered Long,,770,1899,Fulfilled,,False
