ASIN,Title,Brand,Latest Selling Price,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Original Price,Last Day Selling Price,Last Day BSR,Estimated Sales,Availability,Category,Gender
208219,"L'Oreal Professionnel Inforcer Strengthening Shampoo with Vitamin B6 & Biotin, Serie Expert",L'Oreal Professionnel,695.0,32.0,542,4.4,NA,NA,695.0,695.0,31.0,0.0,1.0,Shampoo,
10497,LOreal Professionnel Instant Clear Piroctone Olamine Serie Expert Anti Dandruff Shampoo,L'Oreal Professionnel,695.0,33.0,676,4.3,NA,NA,695.0,695.0,32.0,0.0,1.0,Shampoo,
3798202,"L'Oreal Professionnel Xtenso Care Sulfate Free Hair Care Regime With Shampoo, Masque And Serum",L'Oreal Professionnel,2381.0,38.0,17,4.4,NA,NA,2645.0,2381.0,38.0,0.0,1.0,,
1321112,"L'Oreal Professionnel Inforcer Strengthening Shampoo 300ml & Hair Mask 250gm Combo, Serie Expert",L'Oreal Professionnel,1477.0,47.0,14,4.4,NA,NA,1555.0,1477.0,48.0,0.0,1.0,Combos @ Nykaa,
1323562,"L'Oreal Professionnel Liss Unlimited Shampoo 300ml & Hair Mask 250gm for frizzy hair, Serie Expert",L'Oreal Professionnel,1477.0,59.0,34,4.2,NA,NA,1555.0,1477.0,59.0,0.0,1.0,Combos @ Nykaa,
10503,L'Oreal Professionnel Mythic Oil Argan Oil Rich Shampoo,L'Oreal Professionnel,990.0,56.0,299,4.3,NA,NA,990.0,990.0,58.0,0.0,1.0,Shampoo,
1328952,"L'Oreal Professionnel Liss Unlimited Shampoo 300ml, Hair Mask 250gm & Hair Serum 125ml, Serie Expert",L'Oreal Professionnel,2039.0,60.5,53,4.3,NA,NA,2265.0,2039.0,62.0,0.0,1.0,Combos @ Nykaa,
1162179,L'Oreal Paris Dream Lengths Shampoo,L'Oreal Paris,575.0,20.0,1043,4.4,NA,NA,959.0,575.0,20.0,0.0,1.0,Shampoo,
6671067,L'Oreal Paris Hyaluron Moisture 72H Moisture Filling Shampoo,L'Oreal Paris,199.0,21.0,46,4.3,NA,NA,199.0,199.0,22.0,0.0,1.0,Shampoo,
10970,L'Oreal Paris Total Repair 5 Shampoo,L'Oreal Paris,569.0,51.0,1356,4.4,NA,NA,949.0,569.0,53.0,0.0,1.0,Shampoo,
10672,L'Oreal Paris 6 Oil Nourish Shampoo,L'Oreal Paris,539.0,52.0,1408,4.4,NA,NA,899.0,539.0,54.0,0.0,1.0,Shampoo,
1370749,L'Oreal Paris Long Hair Dreams,L'Oreal Paris,1134.0,65.0,134,4.4,NA,NA,1417.0,1134.0,66.0,0.0,1.0,Combos @ Nykaa,
936397,LOreal Paris Total Repair 5 Shampoo 704ml With Conditioner 192.5ml And Serum 40ml(936.5ml),L'Oreal Paris,712.0,53.0,298,4.4,NA,NA,1093.0,712.0,55.0,0.0,1.0,Hair Care,
220222,L'Oreal Paris Extraordinary Clay Shampoo,L'Oreal Paris,381.0,72.0,1850,4.4,NA,NA,540.0,493.0,77.0,0.0,1.0,Shampoo,
6282,L'Oreal Paris Colour Protect Shampoo,L'Oreal Paris,296.0,95.0,571,4.4,NA,NA,349.0,296.0,106.0,0.0,1.0,Shampoo,
4317603,L'Oreal Paris Extraordinary Oil Smooth Shampoo(Paraben & Silicone Free) 440ml| Nourishing Shampoo,L'Oreal Paris,899.0,120.0,64,4.3,NA,NA,999.0,899.0,127.0,0.0,1.0,Shampoo,
5951,L'Oreal Paris Fall Resist 3x Shampoo,L'Oreal Paris,281.0,150.0,349,4.3,NA,NA,329.0,281.0,158.0,0.0,1.0,Shampoo,
7286094,L'Oreal Paris Hyaluron Moisture 3-step Routine Hyaluron Moisture Shampoo + Conditioner + Night Cream,L'Oreal Paris,1335.0,184.0,3,4.3,NA,NA,1767.0,1335.0,197.0,0.0,1.0,Hair,
