ASIN,Date,Lowest Selling Price,Highest Selling Price,Last Known Lowest Selling Price,Last Known Highest Selling Price,BSR,Last Known BSR,Estimated Sales,Availability
B09TPKMS7H,2023-02-01,1225.0,1406.0,1225.0,1406.0,5884.0,4690.0,0.0,1.0
B09TPP6CHD,2023-01-31,,,2551.0,2699.0,31104.0,,0.0,1.0
B09TPP6CHD,2023-02-01,2551.0,2875.0,2551.0,2699.0,3669.0,31104.0,0.0,1.0
B09VS7MP34,2023-01-31,,,2073.0,2185.0,71792.0,,0.0,1.0
B09VS7MP34,2023-02-01,2073.0,2185.0,2073.0,2185.0,71844.0,71792.0,0.0,1.0
B09VSGLN8W,2023-01-31,,,1355.0,1429.0,2850.0,,0.0,1.0
B09VSGLN8W,2023-02-01,1355.0,1429.0,1355.0,1429.0,4886.0,2850.0,0.0,1.0
B09SVCCDBZ,2023-01-31,,,2193.0,2313.0,15437.0,,0.0,1.0
B09SVCCDBZ,2023-02-01,2193.0,2313.0,2193.0,2313.0,16631.0,15437.0,0.0,1.0
B09VRRK6FS,2023-01-31,,,2592.0,2593.0,5895.0,,0.0,1.0
B09VRRK6FS,2023-02-01,2592.0,2593.0,2592.0,2593.0,7320.0,5895.0,0.0,1.0
B09S3P5PMM,2023-01-31,,,2717.0,2717.0,9484.0,,0.0,1.0
B09S3P5PMM,2023-02-01,2717.0,2717.0,2717.0,2717.0,10643.0,9484.0,0.0,1.0
B09SFYNW93,2023-01-31,,,2529.0,2924.0,,,0.0,1.0
B09SFYNW93,2023-02-01,2529.0,2924.0,2529.0,2924.0,,,0.0,1.0
B09TPKLT69,2023-01-31,,,2951.0,3744.0,17088.0,,0.0,1.0
B09TPKLT69,2023-02-01,2951.0,3744.0,2951.0,3744.0,10620.0,17088.0,0.0,1.0
B09SY2KFCH,2023-01-31,,,2561.0,3346.0,34331.0,,0.0,1.0
B09SY2KFCH,2023-02-01,2561.0,3346.0,2561.0,3346.0,34708.0,34331.0,0.0,1.0
B09VS5Y868,2023-01-31,,,3626.0,3885.0,15458.0,,0.0,1.0
B09VS5Y868,2023-02-01,3626.0,3885.0,3626.0,3885.0,16672.0,15458.0,0.0,1.0
B09VRSTVRF,2023-01-31,,,2524.0,2897.0,13280.0,,0.0,1.0
B09VRSTVRF,2023-02-01,2524.0,2897.0,2524.0,2897.0,14274.0,13280.0,0.0,1.0
