ASIN,Title,Brand,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Lowest Original Price,Highest Original Price,Latest Lowest Selling Price,Latest Hightest Selling Price,Last Day Lowest Selling Price,Last Day Highest Selling Price,Last Day BSR,Estimated Sales,Fulfilled,Availability,Category,Gender
B09VYG9LRF,Fabindia womens Kurta,Fabindia,58197,,,NA,NA,2593,2732,2593,2732,2593,2732,57846,0,NA,1,Kurtas & Kurtis,
B09TPMZMVL,Fabindia Women Kurta Set,Fabindia,40938,,,NA,NA,6251,7061,6251,7061,6251,7061,40389,0,NA,1,Kurtas & Kurtis,
B09S3PPNGK,Fabindia Women Kurta,Fabindia,3787,1,5,NA,NA,1362,1605,1362,1605,1362,1605,2076,0,NA,1,Kurtas & Kurtis,
B09VS2MPT4,Fabindia womens Kurta,Fabindia,7922,,,NA,NA,2983,3223,2983,3223,2983,3223,6947,0,NA,1,Kurtas & Kurtis,
B09VS198VB,Fabindia womens Kurta,Fabindia,10809,,,NA,NA,2576,2585,2576,2585,2576,2585,9791,0,NA,1,Kurtas & Kurtis,
B09S3NBLNH,Fabindia Women's Cotton Regular Kurta,Fabindia,12753,1,5,NA,NA,1376,1559,1376,1559,1376,1559,12049,0,NA,1,Kurtas & Kurtis,
B09SY5MDF6,Fabindia baby-girls Salwar Set,Fabindia,16794,,,NA,NA,1456,1534,1456,1534,1456,1534,16770,0,NA,1,Clothing Sets,
B09SY68X2S,Fabindia Baby-Girl's Cotton Salwar Set (10710627PK_Aqua_18-24M),Fabindia,,,,NA,NA,1530,1530,1530,1530,1530,1530,,0,Fulfilled,1,Salwar Suits,
B09VS19JPS,Fabindia White Brocade A-Line Dress,Fabindia,,,,NA,NA,5631,5631,5631,5631,5631,5631,,0,Fulfilled,1,Salwar Suits,
B09VR8WPNH,Fabindia Women Salwar,Fabindia,,1,1,NA,NA,1442,1442,1442,1442,1442,1442,,0,NA,1,Bottom Wear,
