ASIN,Title,Brand,Latest Selling Price,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Original Price,Last Day Selling Price,Last Day BSR,Estimated Sales,Fulfilled,Availability,Category,Gender
B07XD8G2HR,"Philips Wiz Wi-Fi Enabled B22 9-Watt LED Smart Bulb, Compatible with Amazon Alexa and Google Assistant(16M Colours +Shades of White + Dimmable + Tunable),Pack of 1",Philips,664.0,14.0,6175,4.2,NA,NA,1999.0,664.0,12.0,40.0,Fulfilled,1.0,LED Bulbs,
B09T37S9Y5,"Philips Motion Sensor B22 LED Bulb | Motion Sensor Light for Home | Motion Sensor LED Bulb | Crystal White, Pack of 1",Philips,465.0,18.0,54,3.7,NA,NA,699.0,465.0,21.0,34.0,Fulfilled,1.0,LED Bulbs,
B016VYB624,"PHILIPS Plastic LED Desk light, White",Philips,1033.0,4.0,13642,4.4,NA,NA,1450.0,1033.0,2.0,79.0,Fulfilled,1.0,Desk Lights,
B00MGF4YTU,"PHILIPS 0.5W LED Yellow Bulb, Pack of 1 (Joy Vision)",Philips,101.21,3.0,7211,4.3,NA,NA,120.0,96.06,3.0,81.0,Fulfilled,1.0,LED Bulbs,
B0862GS4T8,"Philips 12W LED Emergency Bulb, Emergency Bulb For Home, Cool Day Light, Pack of 1",Philips,598.0,2.0,13207,4.2,NA,NA,649.0,598.0,2.0,84.0,Fulfilled,1.0,LED Bulbs,
B0191QS9MO,"Philips 9-Watts E27 LED Warm White LED Bulb, Pack of 2, (Ace Saver)",Philips,250.73,43.0,2164,4.4,NA,NA,310.0,237.98,49.0,33.0,Fulfilled,1.0,LED Bulbs,
B09DGNTS7G,Philips Orbit 5W Colour Changing Warm White to Natural White to Cool White & Rechargeable Touch Controlled LED Table Lamp | Desk Lamp with Brightness Control,Philips,1850.0,11.0,740,4.3,NA,NA,2200.0,1850.0,12.0,65.0,Fulfilled,1.0,Table Lamps,
B07SGCDWL5,"Philips 10W B22 LED Emergency Inverter Bulb ( Cool Day Light/Crystal White, Pack of 1)",Philips,549.99,24.0,8945,4.1,NA,NA,549.99,549.99,19.0,32.0,Fulfilled,1.0,LED Bulbs,
B09JZ1MSF6,Philips Helio Multi-Functional Emergency Rechargeable LED Torch Light and Emergency Lantern| 3 Lighting Modes and Dimmability Brightness Control Method | 2200 mAH Battery,Philips,1569.0,38.0,155,4.1,NA,NA,1999.0,1569.0,37.0,33.0,Fulfilled,0.75,Emergency Lights,
B08YRM5B41,Philips Smart Wi-Fi LED T-Bulb 10-Watt WiZ Connected (Pack of 1) (Shades of White + Tunable + Dimmable + Pre-Set Modes) (Compatible with Amazon Alexa and Google Assistant),Philips,631.35,403.0,115,3.7,NA,NA,1999.0,631.35,503.0,12.0,Fulfilled,1.0,LED Bulbs,
B016W10CNU,"Philips 9-Watts B22 LED Warm White LED Bulb, Pack of 2, (Ace Saver)",Philips,250.73,13.0,7339,4.3,NA,NA,310.0,237.98,10.0,41.0,Fulfilled,1.0,LED Bulbs,
B07X922QQV,"Philips Wiz Smart WI-Fi LED Bulb E27 9-Watt, 16 Million colors , Compatible with Amazon Alexa and Google Assistant, Pack of 1",Philips,829.0,35.0,2316,4.3,NA,NA,1999.0,829.0,41.0,33.0,Fulfilled,1.0,LED Bulbs,
B014IRNDEK,PHILIPS 0.5W B22 LED White LED Bulb (Deco Mini),Philips,53.84,15.0,2336,4.2,NA,NA,120.0,51.1,15.0,33.0,Fulfilled,1.0,LED Bulbs,
B00UHF3XDO,"Philips 9-Watts Multipack B22 LED Cool Day White LED Bulb, Pack of 4, (Ace Saver)",Philips,375.0,4.0,24346,4.1,NA,NA,980.0,375.0,7.0,79.0,Fulfilled,1.0,LED Bulbs,
B01N148DEG,"Philips 20W Ujjwal LED Batten, LED Tubelight for Home, Cool Day Light, Pack of 4",Philips,1009.0,22.0,6966,4.3,NA,NA,1996.0,1009.0,18.0,32.0,Fulfilled,1.0,LED Bulbs,
B097MZ9SV3,"PHILIPS T Beamer 20w Rechargeable Emergency Inverter LED Light Bulb, Cool Day White, standard",Philips,,113.0,1284,4.1,NA,NA,,,80.0,23.0,NA,0.3125,LED Bulbs,
B016IGHO8K,"Philips 9-Watts E27 LED Warm White LED Bulb, Pack of 1, (Ace Saver)",Philips,124.17,16.0,1444,4.3,NA,NA,155.0,117.85,14.0,33.0,Fulfilled,1.0,LED Bulbs,
B07XQ3MQC7,Syska T0790LA Tuo Portable Rechargeable Led Lamp Cum Torch with Upto 4hrs Backup (Green-White),Syska,,43.0,8923,4.1,NA,NA,,,38.0,33.0,NA,0.3125,Emergency Lights,
B07P42GBR8,Syska FAB-4001 Fan Shaped Base B22 40-Watt LED Bulb (White),Syska,645.0,224.0,408,4.1,NA,NA,799.0,645.0,212.0,16.0,Fulfilled,1.0,LED Bulbs,
B01DNPUGXY,"Syska B22 12-Watt LED Bulb (Pack of 2, Cool Day Light)",Syska,341.0,162.0,578,3.8,NA,NA,499.0,341.0,284.0,19.0,NA,1.0,LED Bulbs,
B01DNPUHFQ,"SYSKA SSK-SRL-5W-2 Base B22 5-Watt LED Bulb (Pack of 2, White, Cool Day Light)",Syska,219.0,146.0,2608,4.1,NA,NA,598.0,219.0,95.0,20.0,Fulfilled,1.0,LED Bulbs,
B08BJQSPQM,SYSKA T112UL MAXLIT 1W Bright Led Rechargeable Torch (Red),Syska,275.0,15.0,4182,4.1,NA,NA,299.0,275.0,13.0,33.0,NA,1.0,Emergency Lights,
B01DNPU8SM,"SYSKA B22 LED Bulb (White, Cool Day Light, 12 W)",Syska,170.0,173.0,995,4.2,NA,NA,299.0,170.0,164.0,19.0,NA,1.0,LED Bulbs,
B07ND7ZLVN,"SYSKA 12W B22 LED White Bulb, Pack of 1",Syska,300.0,236.0,1614,4.1,NA,NA,499.0,300.0,216.0,15.0,Fulfilled,1.0,LED Bulbs,
