ASIN,Title,Brand,Latest Selling Price,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Original Price,Last Day Selling Price,Last Day BSR,Estimated Sales,Fulfilled,Availability,Category,Gender
B083FX3S13,Eureka Forbes Aquaguard REVIVA RO Original Sediment/Pre Carbon,Eureka Forbes,1283.0,,3,3.9,NA,NA,1350.0,1283.0,,0.0,NA,0.9375,Water Purifier Accessories,
B079BQSB7F,Blue Star Stainless Steel Water Cooler SDLX2020 with 20 L Cooling and Storage(Metallic),Blue Star,,,2,4.5,NA,NA,,,,0.0,NA,0.0,Water Dispensers & Coolers,
B07YXCCHVH,KENT CARBON FILTER PACK OF 10,Kent,,,,,NA,NA,,,,0.0,NA,1.0,Water Purifier Accessories,
B0848DLDSX,"Eureka Forbes Ro Membrane for Nano/Atom/Maxima, Plastic, White",Eureka Forbes,2492.0,,3,3.3,NA,NA,2625.0,2492.0,,0.0,NA,0.625,Water Purifier Accessories,
B08JQQQT17,"Kent Ultima Vegetable Cleaner (11115), 13 W, White, 1 Piece",Kent,5999.0,,44,3.1,NA,NA,9000.0,5999.0,,0.0,Fulfilled,1.0,Water Purifier Accessories,
B07FLP4YF4,KENT UV Assembly 11 W Long - 1 Pcs,Kent,1680.0,,161,4.1,NA,NA,2000.0,1680.0,,0.0,NA,0.9375,Water Purifier Accessories,
B0859RHH6X,"Eureka Forbes AquaSure from Aquaguard Amaze RO+UV+UF(Ultra-Filtration)+MTDS Water Purifier (Black), Set of 1",Eureka Forbes,10499.0,1.0,14535,3.9,NA,NA,18000.0,10499.0,1.0,0.0,Fulfilled,1.0,Water Filters & Purifiers,
B09P56BB8S,Livpure Plastic TDS Controller for All RO Purifiers || White || 1 Pc,Livpure,160.0,,1,3.0,NA,NA,175.0,160.0,,0.0,NA,0.5,Water Purifier Accessories,
B07YMZRZ5B,KENT Sediment - Pack of 10,Kent,,,,,NA,NA,,,,0.0,NA,1.0,Water Purifier Accessories,
B09NYBWM29,Livpure Plastic Post Carbon 1 Piece Set Removes Chlorine Fluoride Heavy Metals Hard Water Softener Water || White || 1 Pc,Livpure,,,2,5.0,NA,NA,,,,0.0,NA,0.125,Water Cartridges,
B096NTB9XT,"Eureka Forbes Aquaguard Aura RO+UV+UF+MTDS+Active Copper+Mineral Guard+UV e-boiling Technology, Water Purifier (Black & Copper)",Eureka Forbes,17299.0,13.0,5065,4.1,NA,NA,24500.0,17499.0,12.0,0.0,Fulfilled,1.0,Water Filters & Purifiers,
B07MQ5X54S,"Blue Star Aristo RO+UV+UF 7-Liter Water Purifier, Black, AR5BLAM01",Blue Star,9999.0,14.0,2159,3.8,NA,NA,13900.0,9999.0,19.0,0.0,Fulfilled,1.0,Water Filters & Purifiers,
B083FXDGDB,Eureka for bes Aquaguard Enhance Sediment/Pre Carbon Filter,Eureka Forbes,1278.0,,8,4.2,NA,NA,1290.0,1278.0,,0.0,NA,0.9375,Water Purifier Accessories,
B07LFT5Q3V,"KENT Auto-Soft Automatic Water Softener, 25-L (White)",Kent,,3929.0,5,1.7,NA,NA,,,3929.0,0.0,NA,0.875,Water Filters & Purifiers,
B08PBPVPC7,"Eureka Forbes Aeroguard AP 700EX Air Purifier with HEPA Filter,6 Stages of Filtration,HINI Filter,(White) & Eureka Forbes AquaSure from Aquaguard Delight (RO+UV+UF+MTDS) 7L water purifier",Eureka Forbes,22305.0,,,,NA,NA,32490.0,22505.0,,0.0,Fulfilled,1.0,HEPA Air Purifiers,
B07FYBL68J,"Eureka Forbes Dr. Aquaguard Magna HD RO+UV Water Purifier, White & Black",Eureka Forbes,19350.0,1581.0,14,3.3,NA,NA,21790.0,19350.0,1572.0,0.0,NA,1.0,Water Filters & Purifiers,
B08PBV679S,"Eureka Forbes Aeroguard AP 700EX Air Purifier with HEPA Filter,6 Stages of Filtration,HINI Filter,(White) & Eureka Forbes Aquasure from Aquaguard Aquaflo DX Wall Mountable UV White 120 L/h",Eureka Forbes,17105.0,,,,NA,NA,20989.0,17105.0,,0.0,Fulfilled,1.0,HEPA Air Purifiers,
B076KL24FD,Eureka Forbes Aquaguard Reviva NXT RO,Eureka Forbes,14400.0,1414.0,13,2.9,NA,NA,15690.0,14400.0,1423.0,0.0,NA,1.0,Water Filters & Purifiers,
B083389Q1B,"Eureka Forbes Aeroguard AP 700 Air Purifier with H1N1 filter removes 99.99% airborne viruses,6 stages of filtration(FilterMaxx Technology),5 Years Warranty on Motor (Cool Grey)",Eureka Forbes,13805.0,,163,4.0,NA,NA,15990.0,13805.0,,0.0,Fulfilled,1.0,HEPA Air Purifiers,
