ASIN,Details Tag,Present
B08523BC7W,Language:,False
B08523BC7W,Date First Available,True
B08523BC7W,Control Console,False
B08523BC7W,Door Material,False
B08523BC7W,Certification,True
B08523BC7W,Colour,True
B08523BC7W,Noise Level,False
B08523BC7W,Voltage,False
B08523BC7W,Asin,True
B08523BC7W,Freezer Capacity,True
B08523BC7W,Capacity,True
B08523BC7W,Importer,True
B08523BC7W,Manufacturer'S Suggested Maximum Weight,False
B08523BC7W,Imported By,False
B08523BC7W,Temperature Rating,False
B08523BC7W,Material,True
B08523BC7W,Remote Control Included?,False
B08523BC7W,Wattage,False
B08523BC7W,Special Feature,False
B08523BC7W,Manufacturer Recommended Age,False
B08523BC7W,Item Width,False
B08523BC7W,Energy Efficiency,True
B08523BC7W,Batteries Included,True
B08523BC7W,Door Orientation,False
B079QP11T3,Drawer Type,False
B079QP11T3,Best Sellers Rank,True
B079QP11T3,Batteries,False
B079QP11T3,Number Of Shelves,True
B079QP11T3,Brand,True
B079QP11T3,Bottle Count,False
B079QP11T3,Item Model Number,False
B079QP11T3,Color,False
B079QP11T3,Generic Name,True
B079QP11T3,Shelf Type,True
B079QP11T3,Number Of Memory Sticks,False
B079QP11T3,Included Components,True
B079QP11T3,Model,True
B079QP11T3,Item Weight,True
B079QP11T3,Capacity Name,False
B079QP11T3,Net Quantity,True
B079QP11T3,Part Number,True
B079QP11T3,Form Factor,True
B079QP11T3,Assembly Required,False
B079QP11T3,Package Dimensions,False
B079QP11T3,Annual Energy Consumption,True
B079QP11T3,Refrigerator Fresh Food Capacity,True
B079QP11T3,Item Dimensions Lxwxh,True
B079QP11T3,Country Of Origin,True
B079QP11T3,Number Of Drawers,False
B079QP11T3,Number Of Puzzle Pieces,False
B079QP11T3,Manufacturer,True
B079QP11T3,Special Features,True
B079QP11T3,Scale,False
B079QP11T3,Installation Type,True
B079QP11T3,Ice Storage Capacity,False
B079QP11T3,Batteries Required,True
B079QP11T3,Product Dimensions,False
B079QP11T3,Material Type(S),False
B079QP11T3,Item Height,False
B079QP11T3,Defrost System,True
B079QP11T3,Packer,True
B079QP11T3,Customer Reviews,True
B079QP11T3,Cooling Type,False
B079QP11T3,Model Number,False
B079QP11T3,Volume Capacity Name,True
B079QP11T3,Language:,False
B079QP11T3,Date First Available,True
B079QP11T3,Control Console,False
B079QP11T3,Door Material,False
B079QP11T3,Certification,True
B079QP11T3,Colour,True
B079QP11T3,Noise Level,False
B079QP11T3,Voltage,True
B079QP11T3,Asin,True
B079QP11T3,Freezer Capacity,True
B079QP11T3,Capacity,True
B079QP11T3,Importer,True
B079QP11T3,Manufacturer'S Suggested Maximum Weight,False
B079QP11T3,Imported By,True
B079QP11T3,Temperature Rating,False
B079QP11T3,Material,True
B079QP11T3,Remote Control Included?,False
B079QP11T3,Wattage,False
B079QP11T3,Special Feature,False
B079QP11T3,Manufacturer Recommended Age,False
B079QP11T3,Item Width,False
B079QP11T3,Energy Efficiency,True
B079QP11T3,Batteries Included,True
B079QP11T3,Door Orientation,True
B09SPZMNHK,Drawer Type,False
B09SPZMNHK,Best Sellers Rank,True
B09SPZMNHK,Batteries,False
B09SPZMNHK,Number Of Shelves,False
B09SPZMNHK,Brand,True
B09SPZMNHK,Bottle Count,False
B09SPZMNHK,Item Model Number,False
B09SPZMNHK,Color,False
B09SPZMNHK,Generic Name,True
B09SPZMNHK,Shelf Type,True
B09SPZMNHK,Number Of Memory Sticks,False
B09SPZMNHK,Included Components,True
B09SPZMNHK,Model,True
B09SPZMNHK,Item Weight,True
