Keyword,Rank,ASIN,Title,Brand,Latest Selling Price,Original Price,Fulfilled,Present
Hair growth,-1,HSMEXBU8Z4XZFZB7,Streax Hair Serum Vitalized With Walnut Oil  (100 ml),Streax Hair Serum,216,,TRUE,FALSE
Hair growth,-1,HTTEZ6FGGVECUZ55,KARTHIKA Shikakai Powder With Shikakai & Hibiscus Powder For Soft Hair  (180 g),Karthika Hair Treatment,46,,FALSE,FALSE
Hair growth,-1,HTTG9Q3YPU5UGYSR,TRUNEXT Moroccan Argan Hair Mask,Trunext Hair Treatment,379,499,TRUE,FALSE
Hair growth,-1,HTTFY6RXVE9KKYBB,VEDICINE Amla Reetha Shikakai Hibiscus and Bhringraj Powder For Hair Pack (40g each)  (200 g),Vedicine Hair Treatment,199,,TRUE,FALSE
Hair growth,-1,HSYFV2E5TJDYFZZA,TRESemme Keratin Mask,Tresemme Hair Treatment,420,600,TRUE,FALSE
Hair growth,-1,HSYGBBFFVGSSFGGD,Love Beauty & Planet Onion Black Seed & Patchouli Hair Mask  (200 ml),Love Beauty & Planet Hair Treatment,600,,TRUE,FALSE
Hair growth,-1,FCWEUD725YWGK27P,Everyuth Naturals Moisturising Fruit Face Wash,Everyuth Naturals Face Wash,150,,TRUE,FALSE
Hair growth,-1,HTTF8CDBXNS7UXVE,"USTRAA Hair Growth Vitalizer - 100ml - Boost hair growth, Prevents hair fall, Delays Hair Greying, With Redensyl and Saw Palmetto Extract, Non-oily serum for complete hair care and nourishment  (100 ml)",Ustraa Hair Treatment,559,,TRUE,FALSE
Hair growth,-1,HTTDABA8UQ5B8W8Z,L'Oréal Paris Total Repair 5 Masque,L'Oréal Paris Hair Treatment,310,365,TRUE,FALSE
Hair growth,-1,SMPGBNYFZS4XTVKZ,Kesh King Scalp and Hair Medicine Anti-Hairfall Shampoo  (200 ml),Kesh King Shampoo,125,,TRUE,FALSE
Hair growth,-1,SMPFEQJT5PZDXUAF,DOVE Healthy Ritual for Growing Hair Shampoo  (650 ml),Dove Shampoo,582,,TRUE,FALSE
Hair growth,-1,CNDFJAZ4FHZBCHQF,"MamaEarth ""Onion Conditioner for Hair Growth & Hair Fall Control with Coconut Oil 250ml""  (250 ml)",Mamaearth Conditioner,307,,TRUE,FALSE
Hair growth,-1,MSCFAMQ3MHBPNSDG,POND's Light Moisturiser  (250 ml),Pond'S Moisturizer,220,,TRUE,FALSE
Hair growth,-1,MSCECNPQDHJDRUXT,"Lacto Calamine Daily Face care Lotion for Oil Balance - Oily Skin, Retain Moisture, Absorb excess Oil & Helps prevent Pimples, acne & dark spots  (120 ml)",Lacto Calamine Moisturizer,196,,TRUE,FALSE
Hair growth,-1,HOLGH9FZ9YUFBVKY,SKOOKUM 4 x Faster Beard Growth oil with 100% Natural Ingredients Based  Hair Oil  (120 ml),Skookum Hair Oil,499,,TRUE,FALSE
Hair growth,-1,MSCET7YRBUNFUGV2,"NIVEA Body Lotion for Very Dry Skin, Nourishing Body Milk with 2x Almond Oil, For Men & Women  (120 ml)",Nivea Moisturizer,95,,TRUE,FALSE
Hair growth,-1,FRNG24FKUXCX7AGR,GOOD VIBES Rosehip Radiant Glow Face Serum  (30 ml),Good Vibes Skin Treatment,299,,TRUE,FALSE
Hair growth,-1,HSMD9YWJPG4BHZMK,L'Oréal Paris Total Repair 5 Serum  (40 ml),L'Oréal Paris Hair Serum,142,,FALSE,FALSE
Hair growth,-1,FRNG24QKBSK3RUAH,GOOD VIBES Rosehip Radiant Glow Face Serum  (50 ml),Good Vibes Skin Treatment,431,,TRUE,FALSE
Hair growth,-1,FRNGFZAYVQ5AT37Z,"Dr. Alies Professional Vitamin C Face Serum - Skin Brightening Serum , Anti-Aging, Skin Repair, Supercharged Face Serum, Dark Circle, Fine Line & Sun Damage Corrector Face Serum  (30 ml)",Dr. Alies Professional Skin Brightening Cream,219,,TRUE,FALSE
Hair growth,-1,MSCG7GXHM8R2WGGM,MamaEarth Ubtan Oil-Free Face Moisturizer with Turmeric & Saffron for Skin Brightening  (80 ml),Mamaearth Moisturizer,269,,TRUE,FALSE
