ASIN,username,rating,title,date,description,keyword,importance,sentiment_score,magnitude,Marketplace,likes,dislikes,verified
SMPFGUN2QPBNZN2Z,Suzain Rkh,5,Just wow!,2022-08-25 00:00:00,Amezing just go for it,Amezing,1.0,0.6000000238418579,0.6000000238418579,FLIPKART,0,0,"Certified Buyer , Kolar"
SMPFGUN2QPBNZN2Z,Surya Prakash Meena,2,Not good,2022-08-24 00:00:00,God but not better quality,God,0.7205781936645508,-0.30000001192092896,0.30000001192092896,FLIPKART,0,0,"Certified Buyer , Chennai"
SMPFGUN2QPBNZN2Z,Surya Prakash Meena,2,Not good,2022-08-24 00:00:00,God but not better quality,quality,0.2794218361377716,-0.20000000298023224,0.20000000298023224,FLIPKART,0,0,"Certified Buyer , Chennai"
SMPFGUN2QPBNZN2Z,Priyanka Yarlagadda,5,Great product,2022-08-23 00:00:00,Nice product for this price,product,0.6507119536399841,0.6000000238418579,0.6000000238418579,FLIPKART,0,0,"Certified Buyer , Krishna District"
SMPFGUN2QPBNZN2Z,Priyanka Yarlagadda,5,Great product,2022-08-23 00:00:00,Nice product for this price,price,0.34928804636001587,0.5,0.5,FLIPKART,0,0,"Certified Buyer , Krishna District"
SMPFGUN2QPBNZN2Z,Surya Prakash Meena,2,Not good,2022-08-23 00:00:00,God but not better quality,God,0.7205781936645508,-0.30000001192092896,0.30000001192092896,FLIPKART,0,0,"Certified Buyer , Chennai"
SMPFGUN2QPBNZN2Z,Surya Prakash Meena,2,Not good,2022-08-23 00:00:00,God but not better quality,quality,0.2794218361377716,-0.20000000298023224,0.20000000298023224,FLIPKART,0,0,"Certified Buyer , Chennai"
SMPF66PU8GZ8ESGQ,Puspajit Gouda,5,Mind-blowing purchase,2022-08-16 00:00:00,Thank u so much filfcart,filfcart,1.0,0.8999999761581421,0.8999999761581421,FLIPKART,0,0,"Certified Buyer , Bhubaneswar"
SMPF66PU8GZ8ESGQ,chandrika,5,Classy product,2022-08-09 00:00:00,"such a good shampoo, and it's fragrance is so nice 🙂",shampoo,0.7699933648109436,0.8999999761581421,1.7999999523162842,FLIPKART,0,0,"Certified Buyer , New Delhi"
SMPF66PU8GZ8ESGQ,chandrika,5,Classy product,2022-08-09 00:00:00,"such a good shampoo, and it's fragrance is so nice 🙂",fragrance,0.2300066500902176,0.8999999761581421,0.8999999761581421,FLIPKART,0,0,"Certified Buyer , New Delhi"
SMPF66PU8GZ8ESGQ,Flipkart Customer,5,Highly recommended,2022-07-26 00:00:00,Good quality  product  in the  market.  Everyone can use it. I am using it from last 2 month .,product,0.6411094069480896,0.699999988079071,0.699999988079071,FLIPKART,0,0,"Certified Buyer , Sobhaganj"
