Amazon_URL,ASIN,Flipkart_URL,PID,LID,Marketplace,static
www.amazon.in/dp/B096K52RM5,B096K52RM5,https://www.flipkart.com/duracell-alkaline-aaa-chhota-power-battery/p/itm9cbb4f78a2344?pid=ACCG466ZHWXHXBHW&lid=LSTACCG466ZHWXHXBHWK8SR8R&marketplace=FLIPKART&q=Duracell+Alkaline+AAA+Battery+Chhota+Power%2C+8+Pcs&store=tyy%2F4mr%2Fw65&srno=s_1_5&otracker=search&otracker1=search&fm=Search&iid=d192251e-32a2-41c0-b4a7-8b6eb5da1b36.ACCG466ZHWXHXBHW.SEARCH&ppt=sp&ppn=sp&ssid=51f3ogyt800000001644909388034&qH=78fccf36c107c0e4,ACCG466ZHWXHXBHW,LSTACCG466ZHWXHXBHWK8SR8R,FLIPKART,https://www.flipkart.com/duracell-alkaline-aaa-chhota-power-battery/p/itm9cbb4f78a2344
www.amazon.in/dp/B07VL4ZHDF,B07VL4ZHDF,,,,,
www.amazon.in/dp/B00ONQ6JX4,B00ONQ6JX4,,,,,
www.amazon.in/dp/B08QDW2FHL,B08QDW2FHL,,,,,
www.amazon.in/dp/B08WC34GS3,B08WC34GS3,,,,,
www.amazon.in/dp/B08WBVYBQQ,B08WBVYBQQ,,,,,
www.amazon.in/dp/B000J656LS,B000J656LS,https://www.flipkart.com/duracell-lr44-c2-battery/p/itmfgzhfnzwtzeqh?pid=ACCFGZFWXJHCEWA2&lid=LSTACCFGZFWXJHCEWA2CIE1UX&marketplace=FLIPKART&q=Duracell+type+lr44&store=tyy%2F4mr%2Fw65&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2d302e8a-380e-4c47-b765-f7b18055f5f9.ACCFGZFWXJHCEWA2.SEARCH&ppt=sp&ppn=sp&ssid=o1lc52y90g0000001644909791086&qH=4efc7f29e78f0ac1,ACCFGZFWXJHCEWA2,LSTACCFGZFWXJHCEWA2CIE1UX,FLIPKART,https://www.flipkart.com/duracell-lr44-c2-battery/p/itmfgzhfnzwtzeqh
www.amazon.in/dp/B07HDBJPJ7,B07HDBJPJ7,,,,,
www.amazon.in/dp/B07CZYPDF5,B07CZYPDF5,https://www.flipkart.com/duracell-cr2032-coin-cell-1-battery/p/itm5fd50723e3f13?pid=ACCFZY8YCNY4UT8V&lid=LSTACCFZY8YCNY4UT8VYV7UQL&marketplace=FLIPKART&q=DURACELL+CR2032+Coin+Cell&store=tyy%2F4mr%2Fw65&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=7fe38ed3-b4e3-4f47-a0cc-bf8ed9f2bd74.ACCFZY8YCNY4UT8V.SEARCH&ppt=sp&ppn=sp&ssid=22boc1vilc0000001644909966766&qH=66bfa9ba853f5a85,ACCFZY8YCNY4UT8V,LSTACCFZY8YCNY4UT8VYV7UQL,FLIPKART,https://www.flipkart.com/duracell-cr2032-coin-cell-1-battery/p/itm5fd50723e3f13
www.amazon.in/dp/B00LH3DTYS,B00LH3DTYS,,,,,
www.amazon.in/dp/B071FSZXXX,B071FSZXXX,https://www.flipkart.com/panasonic-original-cr-1632-battery/p/itmfergvnkz7ct9d?pid=ACCG8ARMN34YPE8C&lid=LSTACCG8ARMN34YPE8CK3WCHF&marketplace=FLIPKART&q=Panasonic+CR1632&store=tyy&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=ae35a3ce-581e-46cd-9219-301c8f14e09d.ACCG8ARMN34YPE8C.SEARCH&ppt=sp&ppn=sp&ssid=f4gfkcbypc0000001644910042081&qH=fd795eac39cb3aaf,ACCG8ARMN34YPE8C,LSTACCG8ARMN34YPE8CK3WCHF,FLIPKART,https://www.flipkart.com/panasonic-original-cr-1632-battery/p/itmfergvnkz7ct9d
www.amazon.in/dp/B07Z4JCXNK,B07Z4JCXNK,,,,,
www.amazon.in/dp/B096K5PSTC,B096K5PSTC,https://www.flipkart.com/duracell-alkaline-aaa-chhota-power-battery/p/itm9cbb4f78a2344?pid=ACCG466GCHQZZNNJ&lid=LSTACCG466GCHQZZNNJHSFF5J&marketplace=FLIPKART&q=Duracell+Alkaline+AAA+Battery+Chhota+Power%2C+20+Pcs&store=tyy%2F4mr%2Fw65&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=47935654-88d1-49c9-8096-4708cadf843a.ACCG466GCHQZZNNJ.SEARCH&ppt=sp&ppn=sp&ssid=8q80bfyhi80000001644910161596&qH=d5635fc7f3d4d727,ACCG466GCHQZZNNJ,LSTACCG466GCHQZZNNJHSFF5J,FLIPKART,https://www.flipkart.com/duracell-alkaline-aaa-chhota-power-battery/p/itm9cbb4f78a2344
www.amazon.in/dp/B094ML24T3,B094ML24T3,,,,,
www.amazon.in/dp/B004J2ZFX2,B004J2ZFX2,https://www.flipkart.com/duracell-mn21-batteries-2pcs-battery/p/itm6785a21180395?pid=ACCFJASY83VUPQ8Y&lid=LSTACCFJASY83VUPQ8Y4XL4HJ&marketplace=FLIPKART&q=Duracell+MN21+Alkaline+Batteries+&store=tyy%2F4mr%2Fw65&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=c02c2c2e-6b8c-44d3-91de-6e75a2de709a.ACCFJASY83VUPQ8Y.SEARCH&ppt=sp&ppn=sp&ssid=mikn5mbh0g0000001644910372485&qH=5a6e5960e7b3ed2c,ACCFJASY83VUPQ8Y,LSTACCFJASY83VUPQ8Y4XL4HJ,FLIPKART,https://www.flipkart.com/duracell-mn21-batteries-2pcs-battery/p/itm6785a21180395
www.amazon.in/dp/B007VGF5VK,B007VGF5VK,,,,,
www.amazon.in/dp/B005CFOFCM,B005CFOFCM,,,,,
www.amazon.in/dp/B00MNV8E0C,B00MNV8E0C,,,,,
www.amazon.in/dp/B015V603NQ,B015V603NQ,https://www.flipkart.com/e4u-3v-cr2016-100-authentic-hitachi-maxell-make-lithium-coin-holder-5-pieces-battery/p/itm2d1e987aa0a43?pid=ACCFHWYTZBN2DYNP&lid=LSTACCFHWYTZBN2DYNPKAESRE&marketplace=FLIPKART&q=Maxell+Lithium+Battery+CR2016&store=tyy%2F4mr%2Fw65&srno=s_1_7&otracker=search&otracker1=search&fm=Search&iid=d98f934d-54ae-4133-a4cc-7b761f2495d8.ACCFHWYTZBN2DYNP.SEARCH&ppt=sp&ppn=sp&ssid=jc2255he1c0000001644910531214&qH=745678c17f46b009,ACCFHWYTZBN2DYNP,LSTACCFHWYTZBN2DYNPKAESRE,FLIPKART,https://www.flipkart.com/e4u-3v-cr2016-100-authentic-hitachi-maxell-make-lithium-coin-holder-5-pieces-battery/p/itm2d1e987aa0a43
www.amazon.in/dp/B009DJEHJE,B009DJEHJE,https://www.flipkart.com/panasonic-cr-123aw-1be-photo-lithium-battery/p/itme2bb2bf77d19e?pid=ACCFZJXSAYMBJBEK&lid=LSTACCFZJXSAYMBJBEKJDZLQH&marketplace=FLIPKART&q=Panasonic+Photo+Lithium+Battery+CR123AW&store=tyy%2F4mr%2Fw65&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=aba1d3fc-7a13-4daa-be0a-4e93c8756886.ACCFZJXSAYMBJBEK.SEARCH&ppt=sp&ppn=sp&ssid=mikygqt6k00000001644910774008&qH=beafecf49f75cd11,ACCFZJXSAYMBJBEK,LSTACCFZJXSAYMBJBEKJDZLQH,FLIPKART,https://www.flipkart.com/panasonic-cr-123aw-1be-photo-lithium-battery/p/itme2bb2bf77d19e
www.amazon.in/dp/B00MH4QKP6,B00MH4QKP6,,,,,
www.amazon.in/dp/B07Y348F5D,B07Y348F5D,,,,,
www.amazon.in/dp/B09686TGF4,B09686TGF4,https://www.flipkart.com/duracell-alkaline-aa-chhota-power-battery/p/itmf5918fab60246?pid=ACCG466ESF85GBNZ&lid=LSTACCG466ESF85GBNZXME7HA&marketplace=FLIPKART&q=Duracell+Alkaline+AA+Battery+Chhota+Power&store=tyy%2F4mr%2Fw65&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=dff62844-e905-4289-adfa-8700ce4ea23b.ACCG466ESF85GBNZ.SEARCH&ppt=sp&ppn=sp&ssid=ns8tf4nnw00000001644910955420&qH=fab586cb22c2871b,ACCG466ESF85GBNZ,LSTACCG466ESF85GBNZXME7HA,FLIPKART,https://www.flipkart.com/duracell-alkaline-aa-chhota-power-battery/p/itmf5918fab60246
www.amazon.in/dp/B07JM6HM8L,B07JM6HM8L,,,,,
www.amazon.in/dp/B00N3VH7DG,B00N3VH7DG,https://www.flipkart.com/duracell-cr123-pack-2-battery/p/itm45883b8abfd8b?pid=ACCFZYAFCFNJSF7C&lid=LSTACCFZYAFCFNJSF7CK5D1VS&marketplace=FLIPKART&q=Duracell+CR123A%2C+DL123A%2C+EL123A%2C+CR17345+Ultra+Photo+Lithium+Batteries&store=tyy%2F4mr%2Fw65&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=626b7f48-c27a-4136-b908-24ad547388fa.ACCFZYAFCFNJSF7C.SEARCH&ppt=sp&ppn=sp&ssid=mv7412fa280000001644911079721&qH=2fa11140ef572a2d,ACCFZYAFCFNJSF7C,LSTACCFZYAFCFNJSF7CK5D1VS,FLIPKART,https://www.flipkart.com/duracell-cr123-pack-2-battery/p/itm45883b8abfd8b
www.amazon.in/dp/B01DJJVGBA,B01DJJVGBA,,,,,
www.amazon.in/dp/B01B8R6PF2,B01B8R6PF2,,,,,
www.amazon.in/dp/B006T9APEM,B006T9APEM,https://www.flipkart.com/energizer-primary-alkaline-9v-battery/p/itm399227d9f96c7?pid=ACCG2EZ23DZCEQKU&lid=LSTACCG2EZ23DZCEQKUFVJUAF&marketplace=GROCERY&q=Energizer+Alkaline+Battery+Max+522BP1&store=tyy%2F4mr%2Fw65&srno=s_1_7&otracker=search&otracker1=search&fm=Search&iid=669df0f4-a074-4eac-82c4-6b3a1c9d6642.ACCG2EZ23DZCEQKU.SEARCH&ppt=sp&ppn=sp&ssid=lwh1qywbi80000001644911224822&qH=25a4d6d566656041,ACCG2EZ23DZCEQKU,LSTACCG2EZ23DZCEQKUFVJUAF,GROCERY,https://www.flipkart.com/energizer-primary-alkaline-9v-battery/p/itm399227d9f96c7
www.amazon.in/dp/B07JM6YZ2K,B07JM6YZ2K,,,,,
www.amazon.in/dp/B014SZOLWK,B014SZOLWK,,,,,
www.amazon.in/dp/B096K6HTTF,B096K6HTTF,https://www.flipkart.com/duracell-alkaline-aaa-chhota-power-battery/p/itm9cbb4f78a2344?pid=ACCG466EVMFY7AHW&lid=LSTACCG466EVMFY7AHWGO88N2&marketplace=FLIPKART&q=Duracell+Alkaline+AAA+Battery+Chhota+Power%2C+12+Pcs&store=tyy%2F4mr%2Fw65&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=fe824d65-7128-440c-93c7-f70b8775acb8.ACCG466EVMFY7AHW.SEARCH&ppt=sp&ppn=sp&ssid=aiy9ccbd0w0000001644910863373&qH=32e03a015b87f208,ACCG466EVMFY7AHW,LSTACCG466EVMFY7AHWGO88N2,FLIPKART,https://www.flipkart.com/duracell-alkaline-aaa-chhota-power-battery/p/itm9cbb4f78a2344
www.amazon.in/dp/B09HBYL3XG,B09HBYL3XG,,,,,
www.amazon.in/dp/B07Y24K5YL,B07Y24K5YL,,,,,
www.amazon.in/dp/B00GHE16N8,B00GHE16N8,,,,,
www.amazon.in/dp/B01FWAM226,B01FWAM226,,,,,
www.amazon.in/dp/B07Z4JQJF1,B07Z4JQJF1,,,,,
www.amazon.in/dp/B00D8P5T0U,B00D8P5T0U,,,,,
www.amazon.in/dp/B01B8R6V2E,B01B8R6V2E,,,,,
www.amazon.in/dp/B00009QJVE,B00009QJVE,,,,,
www.amazon.in/dp/B07YLVNFJ1,B07YLVNFJ1,,,,,
www.amazon.in/dp/B00JES4DUC,B00JES4DUC,,,,,
www.amazon.in/dp/B08WCKKPDP,B08WCKKPDP,https://www.flipkart.com/panasonic-lr03eg-12b-4-battery/p/itmae00ebc4f673f?pid=ACCG3YRWEFSBEGHE&lid=LSTACCG3YRWEFSBEGHEZPGUJ1&marketplace=FLIPKART&q=Panasonic+EVOLTA+Alkaline+AAA+Battery%2C+Pack+of+12&store=tyy%2F4mr%2Fw65&srno=s_1_23&otracker=search&otracker1=search&fm=Search&iid=febfe649-0652-4ea4-8504-6d2d4946ed70.ACCG3YRWEFSBEGHE.SEARCH&ppt=sp&ppn=sp&ssid=is5ew59p0g0000001644911747377&qH=f85e2b9b5c6c2654,ACCG3YRWEFSBEGHE,LSTACCG3YRWEFSBEGHEZPGUJ1,FLIPKART,https://www.flipkart.com/panasonic-lr03eg-12b-4-battery/p/itmae00ebc4f673f
www.amazon.in/dp/B072JQ6RKW,B072JQ6RKW,https://www.flipkart.com/duracell-specialty-type-2016-lithium-coin-pack-1-battery/p/itmerfc555gphjve?pid=ACCERFBWBHHRFN5F&lid=LSTACCERFBWBHHRFN5FNXINN9&marketplace=FLIPKART&q=Duracell+CR+2016+3V+Lithium+Coin+Battery&store=tyy%2F4mr%2Fw65&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=18e0da62-d86c-4622-88f3-97214e9b1ac9.ACCERFBWBHHRFN5F.SEARCH&ppt=sp&ppn=sp&ssid=nu2z4qooxs0000001644911938070&qH=341d1f08a9ebd95b,ACCERFBWBHHRFN5F,LSTACCERFBWBHHRFN5FNXINN9,FLIPKART,https://www.flipkart.com/duracell-specialty-type-2016-lithium-coin-pack-1-battery/p/itmerfc555gphjve
www.amazon.in/dp/B014HW0SL2,B014HW0SL2,,,,,
www.amazon.in/dp/B0118JF3JO,B0118JF3JO,,,,,
