ASIN,Title,Brand,Latest Selling Price,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Original Price,Last Day Selling Price,Last Day BSR,Estimated Sales,Fulfilled,Availability,Category,Gender
B07RK4NNM3,Tide Ultra 3 in 1 Clean Detergent Washing Powder 1 Kg,Tide,160,70,402,4.4,NA,NA,160,160,66,0,Fulfilled,1,Powder Detergent,
B079Q4PCXN,Tide Plus Detergent Washing Powder with Extra Power Lemon and Mint Pack - 500 g,Tide,60,53,657,4.3,NA,NA,61,,52,0,NA,0.5,Powder Detergent,
B00O52Q2II,Tide Powder Lemon & Mint 500 g -,Tide,65,213,29,4,NA,NA,66,65,316,0,NA,1,Powder Detergent,
B079QBSYSX,Tide Plus Double Power Detergent Washing Powder Jasmine & Rose 6kg + 2kg FREE,Tide,856,5,24193,4.4,NA,NA,895,856,5,0,Fulfilled,1,Powder Detergent,
B07BDN3CCG,"Tide Naturals Lemon and Chandan Detergent Washing Powder, 1kg",Tide,75,33,597,4.3,NA,NA,75,75,30,0,NA,1,Powder Detergent,
B00NOZ3ZOQ,Tide Plus Detergent Washing Powder with Extra Power Lemon and Mint Pack - 4 kg ( 50 off),Tide,500,128,1539,4.3,NA,NA,500,500,121,0,NA,1,Powder Detergent,
B01CIC3V26,Tide Plus Detergent Powder - 6 kg (Jasmine and Rose),Tide,851,345,53,4.4,NA,NA,851,851,336,0,NA,1,Powder Detergent,
B076427WYM,RIN Hippity Hop Exercise Hopper Jump Balls with Animal Face and Two Handles for Kids (White Panda),Rin,3269,,10,4.5,NA,NA,6999,3269,,0,NA,1,Powder Detergent,
B07ZNQNBZN,Rin Liquid Detergent - 800ml,Rin,149,363,20,4.7,NA,NA,150,149,346,0,NA,1,Liquid Detergent,
B00U2DU5BE,Rin Detergent Bar 250gm,Rin,26,11,11680,4.4,NA,NA,27,26,272,0,NA,1,Powder Detergent,
B010BAHRF4,"RIN Refresh Lemon & Rose Detergent Powder 500 g,RPAA2R3",Rin,48,79,127,4.3,NA,NA,48,48,95,0,NA,1,Powder Detergent,
B00TX48HB8,"Rin Detergent Powder - Lemon and Rose, 4kg Pouch",Rin,410,378,12,4,NA,NA,410,,369,0,NA,0.333333333,Powder Detergent,
B00U2DTWPE,Rin Fresh Lemon and Rose Powder- 1 kg,Rin,103,71,272,4.4,NA,NA,103,,74,0,NA,0.666666667,Powder Detergent,
B07N6NP5K2,Rin Advanced Detergent Powder 7 kg,Rin,590,10,27563,4.3,NA,NA,640,640,12,0,Fulfilled,1,Powder Detergent,
B01G4UJZK0,Rin Refresh Lemon & Rose Detergent Powder 4 kg,Rin,412,183,1540,4.2,NA,NA,412,412,162,0,NA,1,Powder Detergent,
B0937TN8Y2,"Ariel Matic Liquid Detergent, Front Load, 2 Litre & Ariel Matic Front Load Detergent Washing Powder 4 kg with Free Detergent Powder 2 kg",Ariel,1789,,11629,4.4,NA,NA,1905,1789,,0,Fulfilled,1,Powder Detergent,
B07BHH7JNL,Ariel Colour Detergent Washing Powder - 500 g with Detergent Washing Powder - 200 g,Ariel,165,80,857,4.5,NA,NA,165,165,93,0,Fulfilled,1,Powder Detergent,
B07BHHCG3M,Ariel Matic Front Load Detergent Washing Powder - 3 kg,Ariel,975,100,4226,4.4,NA,NA,975,975,89,0,NA,1,Powder Detergent,
B071ZYNV95,"Ariel Matic Detergent Powder - Top Load, 6kg Carton",Ariel,1690,197,312,4.6,NA,NA,1690,1690,237,0,NA,1,Powder Detergent,
B06ZZJ7NVH,Ariel Matic Top Load Detergent Washing Powder – 4 Kg+2 KG free,Ariel,1206,4,21632,4.4,NA,NA,1225,1206,4,0,Fulfilled,1,Powder Detergent,
B01N21R6Q9,Ariel Matic Front Load Washing Detergent Powder - 1 kg,Ariel,310,369,27,3.8,NA,NA,315,310,331,0,NA,1,Powder Detergent,
B0937PPDK4,"Ariel Matic Top Load Detergent Washing Powder - 4 kg with Free Detergent Powder - 2 kg - Pantry & Ariel Matic Liquid Detergent Top Load Refill Pouch, 2 Litre",Ariel,1584,229,80,4.5,NA,NA,1615,1584,206,0,Fulfilled,0.833333333,Powder Detergent,
B01MRZZMYD,Ariel Matic Front Load Detergent Washing Powder - 1 kg,Ariel,285,61,885,4.5,NA,NA,309,300,61,0,Fulfilled,1,Powder Detergent,
B08WBPD1L4,Ariel Matic Top Load Detergent Washing Powder 3 KG + 1 KG Free,Ariel,855,32,7334,4.4,NA,NA,855,855,34,0,Fulfilled,1,Powder Detergent,
B078BCFQ7P,Ariel Matic Top Load Detergent Washing Powder - 1 kg,Ariel,285,75,430,4.5,NA,NA,285,285,65,0,Fulfilled,1,Powder Detergent,
B09R4RWG84,Ariel Matic Top Load Detergent Washing Powder - 5kg plus 3kg,Ariel,1665,90,908,4.5,NA,NA,,1665,81,0,NA,1,Powder Detergent,
B0BD235MBP,"Ariel Matic Liquid Detergent Top Load Refill Pouch, 2 Litre & Matic Top Load Detergent Washing Powder - 2 kg & Colour Detergent Washing Powder - 1 kg with Free Detergent Washing Powder - 500 g",Ariel,1202,,24109,4.4,NA,NA,1355,1202,,0,Fulfilled,1,Powder Detergent,
B071QXZQ9L,Ariel Matic Front Load Detergent Washing Powder – 4 Kg+2 KG free,Ariel,1357,6,16134,4.4,NA,NA,1420,1357,6,0,Fulfilled,1,Powder Detergent,
B07BHGWPKV,Ariel Complete Detergent Washing Powder - 500 g with Free Detergent Powder - 200 g,Ariel,173,46,171,4.5,NA,NA,173,173,47,0,Fulfilled,1,Powder Detergent,
B01N4GLE1I,Ariel Matic Top Load Detergent Washing Powder - 2 kg,Ariel,454,23,5731,4.4,NA,NA,595,454,22,0,Fulfilled,1,Powder Detergent,
B07YFKKQN7,"Ariel Perfect Wash Detergent Powder, 500g",Ariel,79,285,16,3.9,NA,NA,80,79,270,0,NA,1,Powder Detergent,
B07DP7779R,Ariel Laundry Detergent 3 In 1 Pods - 52 pods (Regular),Ariel,1695,96,684,4.3,NA,NA,1899,1695,99,0,Fulfilled,1,Powder Detergent,
B0794QPXTL,"Ariel Matic Detergent Washing Powder - Front Load, 6kg Carton",Ariel,1810,230,14,4.7,NA,NA,1810,1810,148,0,NA,1,Powder Detergent,
B07RH199GJ,Ariel Complete Detergent Washing Powder- 4Kg Value Pack,Ariel,700,9,10066,4.4,NA,NA,1400,700,7,0,Fulfilled,1,Powder Detergent,
B07BHH32N7,Ariel Colour Detergent Washing Powder - 1 kg with Free Detergent Washing Powder - 500 g,Ariel,370,55,1317,4.5,NA,NA,370,370,49,0,Fulfilled,1,Powder Detergent,
B08C2G7NFZ,"Ariel Colour Washing Detergent Powder, 1.5 Kg",Ariel,332,248,26,4.5,NA,NA,332,332,230,0,NA,1,Powder Detergent,
B01NALS5VE,Ariel Matic Front Load Detergent Washing Powder - 2 kg,Ariel,504,26,3299,4.4,NA,NA,530,504,25,0,Fulfilled,1,Powder Detergent,
B08DL1SRFZ,"Ariel Matic Detergent Powder, Top Load, 1kg Box",Ariel,285,374,28,4.5,NA,NA,285,285,371,0,NA,1,Powder Detergent,
B09R4SF6QN,Ariel Matic Front Load Detergent Washing Powder - 5kg with 3kg,Ariel,,73,1015,4.4,NA,NA,,,64,0,NA,1,Powder Detergent,
