Keyword,Rank,ASIN,Title,Brand,Latest Selling Price,Original Price,Fulfilled,Sponsored,Present
Washing powder,56,B081QSKDRW,Amazon Brand - Presto! Detergent Powder - 8kg,Amazon Brand - Presto!,639.00,999.00,Fulfilled,False,True
Washing powder,57,B09HQSSG74,KIKGERM Expert Matic Front Load Detergent Powder | 99.99% Germ Protection | FREE FROM HARMFUL CHEMICALS | Tough Stain Removal in Washing Machines Surf | 4KG +2KG FREE (6KG),Kikgerm,999.00,1589.00,Fulfilled,False,True
Washing powder,58,B09HQT6C1Y,KIKGERM Expert Matic Top Load Detergent Powder | 99.99% Germ Protection | FREE FROM HARMFUL CHEMICALS | Tough Stain Removal in Washing Machines Surf | 4KG +2KG FREE (6KG),Kikgerm,899.00,1399.00,Fulfilled,False,True
Washing powder,59,B09HQSRC42,KIKGERM Expert Matic ADVANCED Top & Front Load Detergent Powder | 99.99% Germ Protection | FREE FROM HARMFUL CHEMICALS | Tough Stain Removal in Washing Machines Surf | 4KG +2KG FREE (6KG),Kikgerm,1085.00,1699.00,Fulfilled,False,True
Washing powder,60,B081QRLY3Y,Amazon Brand - Presto! Matic Top Load Detergent Powder - 3 kg,Presto!,395.00,675.00,Fulfilled,False,True
Washing powder,-1,B07J315X3T,"Patanjali Herbal Wash Detergent Powder, 500g",Patanjali,30.00,30.00,NA,,False
Washing powder,-1,B07CPR8B77,"Greenworx Ultra Laundry Powder Pack of 1.5 Kg I Superfine use in top load and front load washing machine, Natural, 100% Biodegradable, Baby Safe, Caustic Free, No Harmful Chemicals, Acid & Phosphate Free, Eco-Friendly, Environment Friendly, Non Toxic, No Fading. plant based surfactant detergent powder.",Greenworx - Bio Cleaning Solutions,349.00,399.00,Fulfilled,,False
Washing powder,-1,B081QSR8G3,Amazon Brand - Presto! Matic Front Load Detergent Powder - 3 kg,Presto!,410.00,750.00,Fulfilled,,False
Washing powder,-1,B0BJ1XSNDN,Wheel Active 2 In 1 Detergent Powder 1Kg Unique,Generic,73.00,73.00,NA,,False
Washing powder,-1,B07K7NDKK5,"Syclone Matic Top Load Detergent Powder for Washing Machine, 2kg",Syclone,361.90,500.00,Fulfilled,,False
Washing powder,-1,B07BDPZKGB,"Ghadi Detergent Powder, 500g",Ghadi,32.00,33.00,NA,,False
Washing powder,-1,B0B42NY54Y,Tide Matic Top Load Detergent (2+1 Kg powder),Tide,404.00,425.00,Fulfilled,,False
Washing powder,-1,B07BHH7JNL,Ariel Colour Detergent Washing Powder - 500 g with Detergent Washing Powder - 200 g,Ariel,165.00,165.00,Fulfilled,,False
Washing powder,-1,B00U2DTSLM,Rin Detergent Powder 4 kg,Rin,360.00,395.00,Fulfilled,,False
Washing powder,-1,B079GXSVWD,Surf Excel Easy Wash Detergent Powder (1kg),Surf Excel,126.00,142.00,NA,,False
Washing powder,-1,B0BJ1YFL1R,Wheel Active 2 In 1 Detergent Powder 1Kg (Pack of 3) Unique,Generic,219.00,219.00,NA,,False
Washing powder,-1,B09HHMB2GH,Love and care Liquid detergent – 950ml (Pack of 2) | for soft woollens | No soda,Love & Care,318.40,398.00,Fulfilled,,False
Washing powder,-1,B09R4S4J2X,"JUTTI GHAR Wheel Active 2 In 1 Detergent Powder, 500Gm",Jutti Ghar,36.00,37.00,NA,,False
Washing powder,-1,B07J2MY2T8,"Patanjali Herbal Wash Detergent Powder, 1kg",Patanjali,70.00,70.00,NA,,False
Washing powder,-1,B01MRZZMYD,Ariel Matic Front Load Detergent Washing Powder - 1 kg,Ariel,300.00,309.00,Fulfilled,,False
Washing powder,-1,B08Z47FLC8,Ariel Matic Liquid Detergent Front Load 2 Ltr + 500ml Free,Ariel,545.00,605.00,Fulfilled,,False
Washing powder,-1,B0BC9B33TJ,"liquid detergent 5 litre top load front load, detergent liquid for washing machine - Eco-friendly, Non-toxic",Moon And Mount,459.00,1999.00,NA,,False
Washing powder,-1,B0B4BCRX8R,"Surf Excel Matic Power Concentrate (500ML liquid) only half cap for 1 load | 2x Power for tough stain removal, with exotic fragrance",Surf Excel,225.00,240.00,Fulfilled,,False
Washing powder,-1,B071GFQ697,Surf Excel Matic Liquid Front Load Detergent 1 Liter Bottle,Surf Excel,216.00,250.00,Fulfilled,,False
Washing powder,-1,B07F889J16,"Surf Excel Matic Front Load Liquid Detergent 2 L Refill, Designed For Tough Stain Removal on Laundry in Washing Machines - Super Saver Offer Pack",Surf Excel,430.00,480.00,Fulfilled,,False
Washing powder,-1,B00U1489JY,"Safewash Liquid Detergent By Wipro, 1Kg, Pack Of 2",Safewash,349.00,360.00,Fulfilled,,False
Washing powder,-1,B0833HHWZS,"Godrej Ezee Liquid Detergent 2 kg Pouch for Winter-wear, Added Conditioner, No Soda Formula, Woolmark Certified",Godrej Ezee,358.00,390.00,Fulfilled,,False
Washing powder,-1,B089DTNXQH,"Ariel Matic Liquid Detergent, Top Load, 1 Litre",Ariel,216.00,220.00,Fulfilled,,False
Washing powder,-1,B0B8YPHC8R,Ariel Matic 4in1 PODs Detergent Pack 18 ct -for Top & Front load washing machine only,Ariel,424.00,825.00,Fulfilled,,False
Washing powder,-1,B07VL3QB67,"Love & Care Soft Woollens Expert Care Wash Liquid Detergent, 950 ml",Love & Care,179.10,199.00,Fulfilled,,False
Washing powder,-1,B089DS53S7,"Ariel Matic Liquid Detergent Front Load Refill Pouch, 2 Litre",Ariel,432.00,485.00,Fulfilled,,False
Washing powder,-1,B08DTTQD83,Ghadi Machine Wash Detergent Powder - 500g (Lavender Fragrance),Ghadi,57.00,57.00,NA,,False
Washing powder,-1,B089DSWYXQ,"Ariel Matic Liquid Detergent Top Load Refill Pouch, 2 Litre",Ariel,378.00,390.00,Fulfilled,,False
Washing powder,-1,B011BXDMBI,"Genteel Liquid Detergent Bottle for Bucket & Machine Wash, No Soda Formula, with Added Fabric Conditioner - Pack of 2 (1kg each)",Genteel,322.00,330.00,Fulfilled,,False
Washing powder,-1,B09KCCCD45,Henko Matic Liquid Detergent  Top Load 1 Litre,Henko Matic,195.00,215.00,Fulfilled,,False
Washing powder,-1,B08KVX9GHY,Ghadi Machine Wash Detergent Powder - 1 kg (Lavender),Ghadi,112.00,112.00,NA,,False
Washing powder,-1,B07F8D6QLL,"Surf Excel Matic Top Load Liquid Detergent 2 L Refill, Designed For Tough Stain Removal on Laundry in Washing Machines - Super Saver Offer Pack",Surf Excel,370.00,370.00,Fulfilled,,False
Washing powder,-1,B0B4DVR7ST,KIKGERM Expert Matic Top Load Detergent Powder | 99.99% Germ Protection | FREE FROM HARMFUL CHEMICALS | Tough Stain Removal in Washing Machines Surf | 3KG + 1KG FREE (4KG),Kikgerm,650.00,929.00,Fulfilled,,False
Washing powder,-1,B07XS9R22Y,"Herbal Strategi Natural Fabric Wash –500ml | Liquid Detergent for Top Load & Front Load Washing Machine | Suitable For All Fabrics | Skin Safe, Baby Safe & Pet-Friendly | 100% Herbal Actives | Eco-friendly, Non-toxic",Strategi,240.00,240.00,Fulfilled,,False
Washing powder,-1,B010BAHRF4,"RIN Refresh Lemon & Rose Detergent Powder 500 g,RPAA2R3",Rin,48.00,48.00,NA,,False
Washing powder,-1,B00SMP20MG,"Surf Excel Easy Wash Detergent Powder, 3 kg",Surf Excel,445.00,445.00,Fulfilled,,False
Washing powder,-1,B08G4JZKW5,BLUEOXY Laundry Water Softener Liquid | Water Softener Liquid for Washing Machine | Washing Machine Water Softener | Ecological Formulation | 500 ML | QTY 1,Blueoxy,332.00,440.00,Fulfilled,,False
Washing powder,-1,B016BB26KI,"Godrej Ezee Liquid Detergent - Winterwear, No Soda Formula, 2kgs (1 bottle & 1 refill)",Godrej Ezee,358.80,390.00,Fulfilled,,False
Detergent Powder,1,B0B42NY54Y,Tide Matic Top Load Detergent (2+1 Kg powder),Tide,404.00,425.00,Fulfilled,False,True
Detergent Powder,2,B079QBSYSX,Tide Plus Double Power Detergent Washing Powder Jasmine & Rose 6kg + 2kg FREE,Tide,856.00,895.00,Fulfilled,False,True
Detergent Powder,3,B07RH199GJ,Ariel Complete Detergent Washing Powder- 4Kg Value Pack,Ariel,700.00,1400.00,Fulfilled,False,True
Detergent Powder,4,B07F9ZRRJG,"Surf Excel Matic Top Load Detergent Washing Powder 4+2 kg, Specially designed for Tough Stain Removal on Laundry in Washing Machines",Surf Excel,1090.00,1225.00,Fulfilled,False,True
Detergent Powder,5,B07G3MWKC3,MR WHITE Detergent Powder - 5 Kg with Free 2Kg,Mr White,550.00,600.00,Fulfilled,False,True
Detergent Powder,6,B08DRKZDHT,More Light Extra Power Detergent powder 4kg,,262.50,410.00,Fulfilled,False,True
Detergent Powder,7,B07VFG6H4Z,Active White Detergent Powder - 4 Kg Mega Pack,Active White,270.00,270.00,Fulfilled,False,True
Detergent Powder,8,B07VXF224L,"Nikunj Advance Detergent Powder, 4kg Budget Pack",Nikunj,179.00,255.00,Fulfilled,False,True
Detergent Powder,9,B079QDSXJ7,Tide Plus Double Power Detergent Washing Powder Lemon & Mint 2kg,Tide,230.00,260.00,Fulfilled,False,True
Detergent Powder,10,B00U2DTSLM,Rin Detergent Powder 4 kg,Rin,360.00,395.00,Fulfilled,False,True
Detergent Powder,11,B01ITJ6642,"Surf Excel Easy Wash Detergent Powder, 500 g",Surf Excel,60.00,67.00,NA,False,True
Detergent Powder,12,B079QKXP84,Tide Plus Detergent Washing Powder with double Power Lemon and Mint Pack - 1 kg,Tide,136.00,136.00,Fulfilled,False,True
Detergent Powder,13,B085SFKVVH,Tide Ultra 3 in 1 Clean Detergent Washing Powder - 3 kg + 1 kg Free = 4 kg,Tide,489.00,515.00,Fulfilled,False,True
Detergent Powder,14,B079QKYMTY,Tide Plus Double Power Detergent Washing Powder Lemon & Mint 6kg + 2kg FREE,Tide,856.00,925.00,Fulfilled,False,True
Detergent Powder,15,B07RH199GJ,Ariel Complete Detergent Washing Powder- 4Kg Value Pack,Ariel,700.00,1400.00,Fulfilled,False,True
Detergent Powder,16,B00TS89BSW,"Surf Excel Easy Wash Detergent Powder 1.5 kg, Washing Powder that Dissolves Easily & Removes Tough Stains on Clothes - Bucket & Machine Wash",Surf Excel,199.00,210.00,Fulfilled,False,True
Detergent Powder,17,B079QBSYSX,Tide Plus Double Power Detergent Washing Powder Jasmine & Rose 6kg + 2kg FREE,Tide,856.00,895.00,Fulfilled,False,True
Detergent Powder,18,B0153BQ0QI,Mr. White Detergent Powder - 4Kg,Mr. White,285.00, ,NA,False,True
Detergent Powder,19,B00U77EQHE,Wheel Green Powder Lemon and Jasmin - 1 kg,Wheel,73.00,73.00,NA,False,True
Detergent Powder,20,B01N4GLE1I,Ariel Matic Top Load Detergent Washing Powder - 2 kg,Ariel,454.00,595.00,Fulfilled,False,True
